Fold,MAE,MSE,RMSE,R squared value
1,0.4554979745082113,0.27610169944413376,0.5254538033396787,0.20862570223018995
2,0.3439888944397309,0.19941774041682192,0.44656213500119096,0.25218347343691727
3,0.3523148469152642,0.17106735212054536,0.41360289181840276,0.21000823707159755
4,0.45233276831388053,0.24909729468997494,0.4990964783385823,0.38107727392981694
5,0.5562984447090269,0.4370827692799129,0.6611223557556596,-0.18330360549553415
6,0.5075905605124188,0.3200224057048552,0.5657052286348918,-0.06286631889521166
7,0.5627084124578824,0.36429077111610914,0.6035650512712852,0.034591745282361086
8,0.4038914716612434,0.1989403923069742,0.44602734479735007,0.43462765951836846
9,0.5478300082896457,0.3547720644609603,0.5956274544217722,-0.17522837088516918
10,0.47898472931736713,0.42852106163948983,0.6546152011979938,-0.4351307140202696
Average,0.46614381111246717,0.29993135511797775,0.5411377944576807,0.06645850821730666
