na,opw,n_eff(real),confinement_loss
1.33,5.2,1.4552,8.4079
1.33,5.3,1.4551,9.4076
1.33,5.4,1.455,10.972
1.33,5.5,1.4549,13.336
1.33,5.6,1.4548,16.789
1.33,5.7,1.4546,21.745
1.33,5.8,1.4545,29.009
1.33,5.9,1.4544,38.998
1.33,6.0,1.4543,48.772
1.33,6.1,1.4542,51.187
1.33,6.2,1.4541,44.583
1.33,6.3,1.454,35.292
1.33,6.4,1.4539,27.567
1.33,6.5,1.4538,22.654
1.33,6.6,1.4536,18.254
1.33,6.7,1.4535,15.616
1.33,6.8,1.4534,13.756
1.33,6.9,1.4533,12.423
1.33,7.0,1.4531,11.458
1.33,7.1,1.453,8.4551
1.33,7.2,1.4529,6.3894
1.34,5.2,1.4552,7.5658
1.34,5.3,1.4551,8.2374
1.34,5.4,1.455,9.7398
1.34,5.5,1.4549,10.946
1.34,5.6,1.4548,12.1669
1.34,5.7,1.4546,16.792
1.34,5.8,1.4545,21.55
1.34,5.9,1.4544,28.765
1.34,6.0,1.4543,39.929
1.34,6.1,1.4542,54.345
1.34,6.2,1.4541,64.199
1.34,6.3,1.454,60.399
1.34,6.4,1.4539,48.334
1.34,6.5,1.4538,36.925
1.34,6.6,1.4536,28.672
1.34,6.7,1.4535,23.067
1.34,6.8,1.4534,19.259
1.34,6.9,1.4533,16.626
1.34,7.0,1.4531,14.766
1.34,7.1,1.453,13.432
1.34,7.2,1.4529,12.472
1.35,5.2,1.4552,1.569
1.35,5.3,1.4551,5.5556
1.35,5.4,1.455,7.9414
1.35,5.5,1.4549,9.6855
1.35,5.6,1.4548,10.641
1.35,5.7,1.4546,13.002
1.35,5.8,1.4545,16.119
1.35,5.9,1.4544,20.122
1.35,6.0,1.4543,26.122
1.35,6.1,1.4542,36.299
1.35,6.2,1.4541,52.507
1.35,6.3,1.454,72.753
1.35,6.4,1.4539,83.021
1.35,6.5,1.4538,73.019
1.35,6.6,1.4536,55.714
1.35,6.7,1.4535,41.625
1.35,6.8,1.4534,32.135
1.35,6.9,1.4533,25.826
1.35,7.0,1.4531,21.588
1.35,7.1,1.453,18.667
1.35,7.2,1.4529,16.618
1.36,5.2,1.4552,7.6149
1.36,5.3,1.4551,1.4693
1.36,5.4,1.455,1.4678
1.36,5.5,1.4549,7.5131
1.36,5.6,1.4548,8.5325
1.36,5.7,1.4546,10.085
1.36,5.8,1.4545,12.313
1.36,5.9,1.4544,15.019
1.36,6.0,1.4543,17.948
1.36,6.1,1.4542,22.081
1.36,6.2,1.4541,29.229
1.36,6.3,1.454,41.69
1.36,6.4,1.4539,62.685
1.36,6.5,1.4538,91.791
1.36,6.6,1.4536,110.07
1.36,6.7,1.4535,96.923
1.36,6.8,1.4534,72.066
1.36,6.9,1.4533,52.608
1.36,7.0,1.4531,39.827
1.36,7.1,1.453,31.572
1.36,7.2,1.4529,26.133
