Fold,MAE,MSE,RMSE,R squared value
1,0.021896055208046345,0.0006274050232295364,0.0250480542803136,0.9982017053474312
2,0.03100912681998648,0.0011064832158804916,0.0332638424701731,0.9958506879404482
3,0.026080346541645285,0.0008328840976621344,0.028859731420478162,0.996153727941241
4,0.023012289724197603,0.000837589427400263,0.02894113728588189,0.9979188728951097
5,0.024502938037267108,0.0008946963080558997,0.029911474521592877,0.9975778103335204
6,0.02882474809257496,0.0009630076371769762,0.031032364350416102,0.9968016352475699
7,0.022831999932486746,0.0007207943776993014,0.026847614003842155,0.9980898202827017
8,0.020514014609853026,0.0008065355008765615,0.028399568674128864,0.9977078920046136
9,0.014762036011177204,0.0002700993498741661,0.01643469956750552,0.9991052609527978
10,0.016120583725586335,0.00045870847037350935,0.021417480486124164,0.9984637706905335
Average,0.02295541387028211,0.0007518203408228841,0.02701559670604564,0.9975871183635967
