Fold,MAE,MSE,RMSE,R squared value
1,4.167890222222221,34.36132583520555,5.861853447093807,0.7535471419604742
2,10.243558555555545,203.53929539243072,14.266719853996948,0.7875575188142632
3,4.21666466666667,26.035970451806666,5.102545487480407,0.9084372784793868
4,5.024488000000001,43.322034120432626,6.5819475932608755,0.8825373266098439
5,5.394435875000005,49.58297706501586,7.041518093778916,0.9010901351103167
6,5.759380249999998,67.61394163425258,8.222769705777523,0.786645990638161
7,2.4853451250000056,12.042549534175617,3.4702376768999,0.7264917339708721
8,15.14986862499999,455.17700019698924,21.33487755289421,0.5618385815209967
9,2.9945901250000024,18.314900952293065,4.279591213222714,0.9248448970591662
10,9.833926000000021,189.63744699038898,13.770891292519485,0.745759790668005
Average,6.527014744444446,109.96274421729909,8.993295191692479,0.7978750394831485
