Fold,MAE,MSE,RMSE,R squared value
1,0.006888888888890794,5.8000000000004e-05,0.007615773105864171,0.9998337579617834
2,0.007333333333332328,7.022222222221149e-05,0.008379870059983717,0.9997366666666667
3,0.012444444444444456,0.0002064444444444722,0.01436817470816917,0.999046636259977
4,0.013555555555552977,0.00028999999999986,0.01702938636592229,0.9992794478527611
5,0.012874999999998304,0.00022562499999996996,0.015020818885798802,0.9993891708967851
6,0.007750000000006141,8.500000000008941e-05,0.009219544457297736,0.999717695900363
7,0.010999999999997012,0.00016274999999993842,0.01275735082217066,0.9995686956521741
8,0.009624999999999884,0.0001331250000000756,0.011537980759217602,0.999621669626998
9,0.017874999999995533,0.00044712499999980174,0.02114533045378581,0.9985188405797109
10,0.012124999999997721,0.0002201249999999825,0.0148366101249572,0.9992627943485087
Average,0.011147222222221514,0.0001898416666666405,0.013191083974316717,0.9993975375745728
