Fold,MAE,MSE,RMSE,R squared value
1,0.3420698210232125,0.24451406941415055,0.4944836391774257,0.2991634953097597
2,0.34134860489449753,0.27222978709717566,0.5217564442315741,-0.020861701614409256
3,0.3441044076058513,0.21879098381661993,0.4677509848376804,-0.010380255937640914
4,0.3255068338755498,0.2414635813457521,0.4913894395952686,0.40004447579736446
5,0.5093461902497294,0.5528148654421308,0.7435152086152177,-0.4966223091495925
6,0.5998261340771704,0.539151845613939,0.7342696000883728,-0.7906444275709441
7,0.513302466610113,0.4415363228788971,0.6644819959027461,-0.1701169633229569
8,0.3204711050656891,0.15787811904752033,0.3973387963030043,0.5513232851225002
9,0.32429589636855694,0.13921523132517957,0.37311557368351644,0.5388315318420551
10,0.4933980783012146,0.545930488391965,0.7388710905103576,-0.828338631977277
Average,0.41136695380715843,0.335352529437333,0.5626972772945164,-0.052760150150114114
